Mapped_GCK,Sales_EUR,date
#3,2279234.95,2020-02-21
#3,2319662.86,2020-02-26
#6,0.0,2020-03-03
#6,0.0,2020-02-18
#6,0.0,2020-02-24
#4,0.0,2020-02-20
#5,202549.69,2020-02-21
#5,0.0,2020-02-11
#5,0.0,2020-02-10
#5,-49551.72,2020-02-03
#5,0.0,2020-02-24
#3,0.0,2020-02-27
#3,0.0,2020-02-17
#3,0.0,2020-02-03
#3,0.0,2020-02-12
#20,0.0,2020-02-25
#1,0.0,2018-12-13
#1,1040980.59,2018-12-14
#1,0.0,2018-12-15
#14,6750.0,2020-02-26
#12,0.0,2020-02-18
#12,0.0,2020-02-17
#12,0.0,2020-02-25
#13,0.0,2020-02-27
#12,0.0,2020-02-27
#36,3150.0,2020-02-21
#8,0.0,2020-02-24
#8,0.0,2020-03-03
#16,0.0,2019-04-17
#16,20356.56,2019-04-12
#16,6881.84,2019-04-05
#11,893416.6,2019-04-30
#5,1789495.73,2019-04-12
#5,1789495.73,2019-04-30
#11,0.0,2019-04-02
#16,50852.0,2019-04-26
#6,0.0,2019-04-29
#6,0.0,2019-05-04
#6,0.0,2019-04-24
#4,0.0,2019-04-03
#4,0.0,2019-05-02
#5,0.0,2019-04-17
#5,0.0,2019-04-24
#3,0.0,2019-04-04
#3,-254.3,2019-04-02
#3,0.0,2019-04-09
#3,0.0,2019-05-04
#3,0.0,2019-04-10
#3,0.0,2019-05-03
#1,0.0,2018-12-17
#1,526573.12,2018-12-18
#3,6228.3,2021-10-06
#1,0.0,2018-12-19
#8,0.0,2020-02-15
#36,0.0,2019-04-03
#11,0.0,2019-04-16
#12,24468.0,2019-05-02
#16,7180.0,2021-02-26
#16,86142.2,2021-03-25
#5,0.0,2021-03-16
#5,3373536.46,2021-03-29
#36,-360.0,2021-03-12
#36,0.0,2021-03-10
#11,0.0,2021-03-11
#11,0.0,2021-03-23
#11,0.0,2021-03-01
#3,1885501.05,2021-03-25
#6,0.0,2021-03-15
#6,0.0,2021-03-05
#4,0.0,2021-03-08
#4,0.0,2021-03-11
#4,0.0,2021-03-26
#5,0.0,2021-03-18
#5,0.0,2021-03-11
#3,0.0,2021-03-24
#3,0.0,2021-03-04
#3,0.0,2021-03-08
#20,0.0,2021-03-22
#9,0.0,2021-03-23
#12,29652.5,2021-03-25
#12,0.0,2021-03-09
#13,1089.35,2021-03-19
#16,0.0,2021-06-23
#11,0.0,2021-06-24
#11,0.0,2021-06-05
#11,0.0,2021-06-18
#5,1308253.15,2021-06-23
#3,4172675.78,2021-06-23
#6,0.0,2021-06-15
#4,514639.08,2021-06-28
#4,0.0,2021-06-09
#4,0.0,2021-06-10
#5,0.0,2021-06-07
#5,0.0,2021-06-22
#3,0.0,2021-06-22
#3,0.0,2021-06-29
#3,-800.81,2021-07-02
#3,0.0,2021-06-10
#3,0.0,2021-06-09
#1,0.0,2018-12-20
#1,786885.64,2018-12-21
#9,0.0,2021-06-27
#13,0.0,2021-06-22
#9,2516.88,2021-06-28
#12,41846.5,2021-06-23
#14,0.0,2021-06-24
#13,1835.0,2021-06-30
#8,0.0,2021-06-17
#36,0.0,2021-06-22
#36,0.0,2021-06-17
#8,0.0,2021-06-10
#8,0.0,2021-07-01
#20,0.0,2019-04-11
#9,0.0,2019-04-26
#8,122388.25,2019-04-26
#8,0.0,2019-04-05
#8,0.0,2019-04-24
#8,0.0,2019-04-04
#36,0.0,2019-04-10
#36,0.0,2019-04-24
#16,199350.0,2018-10-30
#16,6645.0,2018-10-29
#16,199350.0,2018-10-31
#5,0.0,2018-10-16
#11,0.0,2018-10-04
#11,0.0,2018-10-17
#11,0.0,2018-10-01
#6,0.0,2018-10-18
#4,0.0,2018-10-17
#4,0.0,2018-10-19
#4,0.0,2018-10-30
#4,0.0,2018-10-04
#5,0.0,2018-10-22
#3,0.0,2018-10-08
#3,23680.0,2018-10-30
#3,-688.69,2018-11-05
#9,1060.0,2022-01-14
#1,0.0,2018-12-22
#12,0.0,2022-01-26
#9,1033.2,2022-01-27
#20,0.0,2022-01-24
#14,0.0,2022-01-07
#8,0.0,2022-01-20
#8,90981.94,2022-01-14
#8,81008.51,2022-01-21
#8,0.0,2022-01-17
#8,250843.5,2022-01-24
#8,0.0,2022-01-05
#36,0.0,2022-01-28
#16,0.0,2021-10-05
#1,0.0,2018-12-24
#1,0.0,2018-12-25
#1,0.0,2018-12-26
#1,0.0,2018-12-27
#12,6337.91,2021-11-01
#12,203550.43,2021-10-29
#12,0.0,2021-10-12
#3,0.0,2021-11-02
#36,0.0,2021-10-01
#11,124600.0,2021-10-29
#6,0.0,2021-10-19
#6,0.0,2021-10-11
#4,0.0,2021-10-08
#4,0.0,2021-10-14
#3,0.0,2021-10-25
#4,0.0,2021-10-18
#5,0.0,2021-10-13
#3,0.0,2021-11-03
#3,0.0,2021-10-15
#13,0.0,2021-10-19
#1,63674.53,2018-12-28
#8,0.0,2021-10-28
#8,0.0,2021-10-06
#8,0.0,2021-10-21
#8,0.0,2021-10-11
#8,0.0,2021-10-26
#12,0.0,2021-03-23
#13,0.0,2021-03-30
#9,0.0,2021-03-26
#8,62919.59,2021-03-12
#8,0.0,2021-03-30
#8,0.0,2021-03-04
#36,0.0,2021-03-03
#20,0.0,2021-03-18
#16,0.0,2020-10-21
#16,71609.94,2020-10-28
#5,23933.26,2020-11-03
#11,0.0,2020-10-29
#16,0.0,2020-10-14
#16,0.0,2020-10-08
#5,0.0,2020-10-08
#5,0.0,2020-10-20
#6,0.0,2020-10-05
#4,0.0,2020-10-14
#4,-56.55,2020-11-02
#4,0.0,2020-10-01
#6,0.0,2020-10-01
#12,0.0,2020-10-12
#3,0.0,2020-10-29
#3,0.0,2020-10-12
#3,0.0,2020-10-22
#3,0.0,2020-10-27
#3,49986.0,2020-10-02
#8,104251.59,2020-10-28
#3,0.0,2020-10-24
#9,0.0,2020-10-19
#8,2800.0,2020-11-02
#9,0.0,2020-10-08
#1,0.0,2018-12-29
#12,0.0,2020-10-20
#12,5395.0,2020-10-01
#13,0.0,2020-10-19
#12,0.0,2020-10-05
#13,0.0,2020-10-12
#9,-35.25,2020-10-06
#9,0.0,2020-10-21
#13,0.0,2020-10-13
#1,0.0,2018-12-30
#8,0.0,2020-10-09
#5,2774468.49,2021-02-26
#36,7345.17,2021-02-01
#36,0.0,2021-02-23
#11,1180542.33,2021-02-24
#11,0.0,2021-02-06
#11,0.0,2021-02-26
#11,0.0,2021-02-03
#11,0.0,2021-02-17
#16,27722.07,2021-02-12
#4,0.0,2021-02-08
#4,0.0,2021-02-23
#4,0.0,2021-02-11
#4,0.0,2021-02-20
#5,0.0,2021-02-02
#1,162527.515,2018-12-31
#3,0.0,2021-02-21
#1,0.0,2019-01-01
#3,0.0,2021-02-06
#1,24656215.41,2019-01-02
#1,-79503.43,2019-01-03
#12,0.0,2021-02-04
#13,1800.0,2021-02-24
#13,8358.0,2021-02-12
#12,0.0,2021-02-25
#20,846.0,2021-02-12
#9,0.0,2021-02-17
#8,0.0,2021-02-17
#36,0.0,2019-06-06
#11,0.0,2019-06-25
#16,0.0,2019-06-20
#5,0.0,2021-10-08
#12,0.0,2021-10-13
#1,0.0,2019-01-04
#1,0.0,2019-01-05
#1,0.0,2019-01-06
#16,0.0,2020-01-16
#16,216.84,2019-07-08
#36,14887.0,2019-07-12
#11,0.0,2019-07-08
#11,0.0,2019-08-03
#6,0.0,2019-07-08
#6,0.0,2019-07-12
#6,0.0,2019-07-02
#6,0.0,2019-07-04
#4,0.0,2019-07-17
#4,0.0,2019-07-18
#4,0.0,2019-07-15
#5,0.0,2019-07-22
#3,0.0,2019-07-16
#3,125837.825,2019-07-31
#3,2761149.92,2019-07-12
#3,0.0,2019-07-04
#3,0.0,2019-07-03
#3,0.0,2019-07-10
#3,0.0,2019-08-03
#20,0.0,2019-07-01
#3,0.0,2019-07-28
#1,0.0,2019-01-07
#1,0.0,2019-01-08
#9,0.0,2019-07-15
#13,0.0,2019-07-15
#12,0.0,2019-07-08
#8,0.0,2019-07-17
#8,0.0,2019-07-09
#8,0.0,2019-07-26
#8,0.0,2019-07-30
#8,0.0,2019-07-08
#6,0.0,2019-12-17
#6,0.0,2019-12-03
#6,0.0,2019-12-06
#6,0.0,2019-12-04
#4,0.0,2020-01-02
#4,91884.2,2019-12-13
#4,0.0,2019-12-03
#5,0.0,2019-12-10
#5,0.0,2019-12-02
#5,0.0,2019-12-06
#3,-1000.0,2019-12-12
#3,202712.88,2020-01-05
#20,0.0,2019-12-18
#1,0.0,2019-01-09
#1,0.0,2019-01-10
#12,43307.89,2019-12-02
#12,0.0,2019-12-17
#12,114784.4,2019-12-18
#13,0.0,2019-12-04
#9,0.0,2019-12-09
#8,0.0,2019-12-21
#1,706406.97,2019-01-11
#5,0.0,2019-10-21
#11,0.0,2019-10-23
#16,0.0,2019-10-28
#16,0.0,2019-10-02
#16,137132.57,2019-10-30
#6,0.0,2019-10-30
#6,0.0,2019-10-07
#4,0.0,2019-10-17
#4,0.0,2019-10-14
#4,0.0,2019-10-10
#3,116469.26999999999,2019-10-31
#5,0.0,2019-10-14
#3,0.0,2019-10-22
#3,0.0,2019-10-01
#3,0.0,2019-10-15
#3,-4410.26,2019-10-07
#3,94427.48,2019-11-01
#20,0.0,2019-10-10
#1,0.0,2019-01-12
#1,0.0,2019-01-14
#12,79707.6,2019-10-29
#1,0.0,2019-01-15
#12,79707.6,2019-10-31
#12,0.0,2019-10-28
#13,0.0,2019-10-23
#12,0.0,2019-10-14
#1,0.0,2019-01-16
#13,0.0,2019-10-21
#13,49418.15,2019-10-29
#9,0.0,2019-10-24
#8,0.0,2019-10-16
#8,0.0,2019-10-21
#8,0.0,2019-10-25
#8,0.0,2019-10-14
#8,0.0,2019-10-17
#8,0.0,2019-10-28
#8,0.0,2019-10-27
#36,0.0,2019-10-21
#8,0.0,2019-10-11
#36,0.0,2019-10-15
#36,0.0,2019-07-09
#3,0.0,2019-10-20
#16,0.0,2022-01-19
#16,0.0,2022-01-26
#1,0.0,2019-01-17
#9,0.0,2022-01-17
#9,0.0,2022-01-03
#1,1021996.86,2019-01-18
#1,0.0,2019-01-19
#1,0.0,2019-01-21
#1,0.0,2019-01-22
#16,0.0,2021-02-09
#16,10154.34,2020-02-27
#1,0.0,2019-01-23
#1,781948.18,2019-01-24
#12,0.0,2021-11-17
#12,10886.7,2021-12-01
#8,355591.36,2021-11-12
#11,0.0,2021-11-18
#11,0.0,2021-11-08
#6,0.0,2021-11-05
#6,0.0,2021-11-16
#6,0.0,2021-11-11
#6,0.0,2021-11-09
#4,79766.13,2021-11-12
#5,0.0,2021-11-08
#5,0.0,2021-11-16
#5,0.0,2021-11-18
#5,0.0,2021-11-17
#13,0.0,2021-11-10
#12,29604.23,2021-11-19
#9,12757.5,2021-11-30
#13,6479.0,2021-11-12
#13,6479.0,2021-11-30
#20,928.8,2021-11-12
#8,0.0,2021-11-29
#12,0.0,2021-11-16
#1,0.0,2019-01-25
#1,0.0,2019-01-26
#1,0.0,2019-01-28
#12,0.0,2020-12-22
#12,0.0,2020-12-09
#1,277480.3,2019-01-29
#1,0.0,2019-01-30
#9,7922.5,2020-12-11
#36,0.0,2020-12-16
#5,499589.05,2020-12-18
#13,0.0,2020-12-10
#8,0.0,2020-12-04
#5,0.0,2020-12-10
#8,0.0,2020-12-29
#5,0.0,2020-12-16
#5,732293.69,2020-12-30
#5,0.0,2020-12-22
#16,0.0,2021-01-08
#5,0.0,2021-01-29
#11,0.0,2021-01-21
#6,0.0,2021-01-05
#4,0.0,2021-02-02
#4,0.0,2021-01-18
#3,0.0,2021-01-04
#5,0.0,2021-01-20
#3,0.0,2021-01-26
#3,91542.76000000001,2021-01-31
#1,91542.76000000001,2019-01-31
#1,31348710.18,2019-02-01
#1,0.0,2019-02-02
#12,0.0,2021-01-14
#12,0.0,2021-01-07
#12,0.0,2021-01-28
#12,0.0,2021-01-12
#12,0.0,2021-01-20
#12,0.0,2021-01-11
#20,80.0,2021-02-01
#14,0.0,2021-01-25
#12,0.0,2021-01-15
#8,0.0,2021-01-22
#8,0.0,2021-01-11
#20,0.0,2021-01-22
#11,0.0,2020-02-04
#11,0.0,2020-01-29
#11,0.0,2020-01-15
#6,0.0,2020-01-15
#6,0.0,2020-01-22
#6,0.0,2020-01-14
#4,0.0,2020-01-09
#4,0.0,2020-01-07
#4,0.0,2020-01-14
#4,0.0,2020-01-06
#3,0.0,2020-01-10
#3,0.0,2020-01-28
#3,0.0,2020-01-09
#3,0.0,2020-01-08
#1,0.0,2019-02-03
#1,-14518.53,2019-02-04
#1,0.0,2019-02-05
#12,0.0,2020-01-16
#9,7647.5,2020-01-31
#12,0.0,2020-01-08
#1,0.0,2019-02-06
#8,0.0,2020-01-06
#8,0.0,2020-01-09
#8,0.0,2020-01-21
#36,0.0,2020-02-04
#36,0.0,2020-01-03
#16,0.0,2020-06-16
#16,15212.04,2020-06-19
#16,0.0,2020-06-29
#16,67940.0,2020-06-23
#5,775689.44,2020-06-11
#5,8904827.37,2020-06-26
#11,0.0,2020-06-10
#5,0.0,2020-06-18
#6,0.0,2020-06-09
#6,335647.78,2020-06-26
#4,160465.09,2020-06-30
#4,0.0,2020-06-15
#4,0.0,2020-06-05
#5,0.0,2020-06-05
#5,0.0,2020-06-16
#1,0.0,2019-02-07
#12,0.0,2020-06-09
#20,0.0,2020-06-04
#1,418748.56,2019-02-08
#1,0.0,2019-02-09
#1,0.0,2019-02-11
#1,-47249.04,2019-02-12
#1,0.0,2019-02-13
#1,0.0,2019-02-14
#1,853706.68,2019-02-15
#12,11406.0,2020-07-01
#20,413.1,2020-06-11
#8,0.0,2020-06-22
#8,-47498.2,2020-06-11
#8,0.0,2020-06-15
#36,0.0,2020-06-18
#36,0.0,2020-09-07
#36,124.66,2020-09-23
#11,0.0,2021-11-17
#12,0.0,2020-12-10
#13,0.0,2020-01-13
#12,0.0,2020-06-18
#5,0.0,2020-09-04
#11,1820538.6,2020-09-30
#11,0.0,2020-09-21
#16,23445.0,2020-09-29
#16,0.0,2020-10-02
#16,7098.45,2020-09-16
#5,197543.565,2020-09-30
#3,197543.565,2020-09-30
#3,300.0,2020-09-04
#6,0.0,2020-09-21
#6,0.0,2020-09-22
#4,0.0,2020-09-02
#5,23493.28,2020-09-01
#8,261722.51,2020-09-11
#3,0.0,2020-09-09
#3,0.0,2020-09-14
#3,0.0,2020-09-22
#20,0.0,2020-09-08
#8,0.0,2020-09-22
#1,0.0,2019-02-16
#1,0.0,2019-02-18
#1,0.0,2019-02-19
#1,0.0,2019-02-20
#20,1370.0,2020-09-18
#13,0.0,2020-09-04
#12,0.0,2020-09-29
#14,1750.0,2020-09-23
#12,0.0,2020-09-17
#14,0.0,2020-09-15
#8,0.0,2020-09-24
#16,322.32,2019-11-22
#5,2340930.71,2019-11-27
#5,0.0,2019-11-12
#36,2863.71,2019-11-27
#11,0.0,2019-11-07
#6,0.0,2019-11-12
#6,0.0,2019-11-13
#6,0.0,2019-11-07
#6,0.0,2019-11-01
#3,3965616.45,2019-11-27
#4,0.0,2019-11-25
#4,21568.48,2019-11-08
#4,0.0,2019-11-26
#5,0.0,2019-11-09
#3,0.0,2019-11-07
#3,2107677.88,2019-11-08
#3,0.0,2019-11-12
#13,0.0,2019-11-28
#1,863292.07,2019-02-21
#12,0.0,2019-11-25
#5,0.0,2019-11-17
#36,0.0,2019-11-14
#8,0.0,2019-11-06
#8,71439.69,2019-11-27
#8,0.0,2019-11-26
#8,0.0,2019-11-07
#8,0.0,2019-11-14
#16,67173.91,2018-12-10
#16,0.0,2018-12-19
#5,3358874.97,2018-12-21
#36,7331.52,2018-12-14
#5,0.0,2018-12-10
#11,498016.0,2018-12-21
#11,0.0,2018-12-20
#11,2239.02,2019-01-03
#4,0.0,2018-12-03
#4,0.0,2019-01-04
#3,0.0,2018-12-06
#5,0.0,2018-12-17
#5,-33573.26,2018-12-04
#5,0.0,2018-12-12
#3,-2448.47,2018-12-04
#3,0.0,2019-01-04
#3,-2774.65,2019-01-03
#20,415.65,2018-12-28
#1,0.0,2019-02-22
#1,0.0,2019-02-23
#1,0.0,2019-02-25
#1,653182.22,2019-02-26
#1,0.0,2019-02-27
#13,1132.26,2018-12-14
#12,0.0,2018-12-17
#12,0.0,2018-12-13
#20,138.0,2018-12-21
#8,0.0,2018-12-03
#16,0.0,2019-01-30
#16,0.0,2019-01-09
#11,0.0,2019-01-30
#11,0.0,2019-01-10
#11,0.0,2019-01-17
#6,0.0,2019-01-15
#5,0.0,2019-01-09
#4,0.0,2019-01-10
#5,0.0,2019-01-30
#3,0.0,2019-01-25
#3,0.0,2019-01-10
#20,0.0,2019-01-17
#1,115905.15,2019-02-28
#12,21484.0,2019-01-31
#13,2854.8,2019-01-18
#12,0.0,2019-01-17
#13,0.0,2019-01-15
#9,0.0,2019-01-08
#8,0.0,2019-01-07
#8,0.0,2019-01-23
#1,29719518.22,2019-03-01
#13,0.0,2019-01-24
#8,525440.11,2021-09-28
#8,0.0,2021-09-16
#8,0.0,2021-09-07
#16,0.0,2020-04-29
#16,45408.28,2020-04-30
#8,0.0,2020-04-22
#11,0.0,2020-04-14
#11,501808.0,2020-04-30
#11,0.0,2020-04-22
#11,501808.0,2020-04-23
#6,-4.55e-13,2020-05-06
#6,0.0,2020-04-03
#4,200626.26,2020-04-30
#4,-67499.2,2020-04-21
#4,0.0,2020-04-03
#4,0.0,2020-04-22
#3,0.0,2020-04-24
#1,0.0,2019-03-02
#1,-35476.46,2019-03-04
#1,0.0,2019-03-05
#1,0.0,2019-03-06
#12,40866.0,2020-04-30
#12,38063.6,2020-05-04
#20,0.0,2020-04-29
#8,122839.77,2020-04-30
#8,0.0,2020-04-24
#8,19781.17,2020-04-10
#8,1104.0,2020-04-06
#16,0.0,2020-08-04
#11,1329298.95,2019-09-26
#11,1043603.0,2019-09-20
#11,0.0,2019-09-18
#16,302748.12,2019-09-25
#16,0.0,2019-09-17
#6,0.0,2019-09-02
#6,0.0,2019-10-03
#4,262144.25,2019-09-26
#4,35785.86,2019-09-23
#5,0.0,2019-09-09
#5,0.0,2019-09-10
#5,0.0,2019-09-19
#5,0.0,2019-09-18
#5,0.0,2019-09-27
#3,0.0,2019-09-16
#3,1602746.95,2019-09-23
#36,0.0,2019-09-27
#1,0.0,2019-03-07
#13,10707.95,2019-09-13
#12,15280.0,2019-09-02
#8,0.0,2019-09-03
#1,464595.72,2019-03-08
#8,0.0,2019-09-06
#36,6288.06,2019-09-30
#3,0.0,2019-02-22
#3,0.0,2019-02-14
#3,-312.7,2019-03-04
#1,0.0,2019-03-09
#1,0.0,2019-03-11
#12,0.0,2019-02-06
#12,0.0,2019-02-08
#14,6234.5,2019-02-15
#9,0.0,2019-02-26
#20,259.0,2019-02-26
#12,0.0,2019-02-25
#12,0.0,2019-02-18
#9,2354.14,2019-02-21
#9,880.14,2019-02-15
#8,75430.71,2019-02-21
#8,0.0,2019-02-18
#36,0.0,2019-02-19
#6,150694.5,2019-02-26
#5,0.0,2019-03-01
#5,139430.47,2018-11-30
#3,0.0,2018-11-27
#3,3820377.44,2018-11-23
#3,0.0,2018-11-07
#3,0.0,2018-11-04
#5,0.0,2018-11-03
#1,0.0,2019-03-12
#1,0.0,2019-03-13
#1,0.0,2019-03-14
#9,0.0,2018-11-29
#12,0.0,2018-11-28
#13,0.0,2018-11-20
#36,0.0,2018-11-12
#8,336789.1,2018-11-30
#6,0.0,2020-04-27
#36,2905.76,2019-09-13
#8,0.0,2019-09-17
#1,839007.57,2019-03-15
#1,0.0,2019-03-16
#13,2218.46,2020-12-28
#11,0.0,2020-12-08
